id,x,y,portee
0,292.57261908901137,254.59091220853924,85
5,296.3560868326487,245.33322287611742,85
15,298.4138496438479,313.0552844453946,85
19,364.90675529251746,233.16655830999866,85
35,322.65262886204926,243.2464883152493,85
37,267.5578319147171,252.15929577922142,85
38,333.03753213309716,278.10832832494066,85
39,310.0850871189327,276.458699338317,85
52,348.04091064991667,281.6596200542722,85
59,343.8777282113843,295.4613976395599,85
75,357.7635773296951,216.40595079581897,85
9,239.54581508924332,367.0093670408302,85
29,264.18516409798383,350.6300698411078,85
78,372.9187845720692,321.2675563774234,85
94,313.55531541913274,375.3157065820967,85
97,317.65394536275574,374.57883000559264,85
1,389.96977766407286,271.4004379016647,85
33,430.33729198367877,266.20009161513565,85
58,351.4915181110524,154.36843080473335,85
85,435.2709811964703,269.32998768633604,85
25,208.7079905643444,206.72823952758873,85
6,398.6308252055603,341.3736343961976,85
17,268.9910163191723,444.1928636351934,85
23,278.2613019334869,417.7497704294899,85
34,200.75634632620677,402.5324712107346,85
43,167.50240860135855,346.1015181670565,85
74,263.3308646699572,435.4834738508794,85
89,155.70387433869448,371.4687898987717,85
98,286.94458519270023,436.011008517957,85
48,379.47654848370536,381.17733090022756,85
70,364.42070082630147,436.4865153126805,85
4,461.316039433251,203.30888147081583,85
40,447.9355709820124,203.51715608224248,85
83,477.2408602075927,320.90103470537207,85
3,397.05585313181854,94.0383742878807,85
13,402.47354410147057,140.52597893734347,85
46,430.89169344551766,146.88434452586296,85
69,411.01371933359445,123.82973809089975,85
2,166.60637951709222,200.6194514054797,85
45,139.43527630971815,159.4837449792625,85
63,153.86990923721967,219.65463921994032,85
65,188.45816738799203,165.6917563528679,85
82,167.97067273879125,196.47550212784788,85
44,268.3962050929335,499.06204288186234,85
73,153.75522553887112,370.84683138658204,85
11,88.24161793436808,325.39398377980456,85
18,107.28141018668036,340.71674628546504,85
88,124.45837804151843,310.13377765353766,85
91,107.20088805274591,381.12061737938797,85
7,497.4695472898944,196.2357976883198,85
20,486.50671319748443,371.6420877861482,85
72,472.13669724221836,402.8054042867528,85
53,422.7243078314124,59.01258349922106,85
57,465.7097238127317,55.553904380203576,85
51,177.0706474774612,121.85757461672658,85
60,152.37769872764017,140.25543461914762,85
87,119.93730172778294,198.07664430132277,85
81,101.38053619135113,258.73195243500476,85
8,250.00558053284195,127.53772494798332,85
50,247.44685889685385,119.66738016788109,85
36,47.07689444875551,370.8890600593923,85
41,10.96651977564489,309.6663342641472,85
62,26.724050384405228,360.6367756828082,85
80,62.477539583709884,334.04701571856396,85
84,47.584901611644305,328.80331585510527,85
77,82.89668683548734,445.5521350873464,85
99,477.57520171364763,439.44537480841,85
12,459.64687263707737,464.9562716455947,85
27,482.73101668090646,482.88857089234483,85
49,394.30434646724996,2.7199822936967433,85
71,498.148196285345,70.3461120419076,85
22,498.9187452819029,18.015946245258707,85
30,168.30286463056444,47.992805351801,85
68,23.123610999761233,237.03379987443284,85
21,294.2162550879032,66.74446977669629,85
79,262.44006905384424,64.07282734529379,85
90,29.101642826784456,417.2515016240289,85
10,117.76254566647599,468.2311185499236,85
28,20.358270752032446,490.5605727521608,85
95,83.461987488193,493.3435860899706,85
55,333.6159611699857,6.008190985574813,85
31,86.92607611002589,51.696794169004804,85
42,180.33117296147972,24.611095758655942,85
47,113.62197001257529,14.581256230704941,85
54,239.02062112782707,30.081963959952663,85
61,89.70453997564599,23.458077278534716,85
66,138.18734031231384,19.556085421560397,85
76,120.70674068708459,2.399851553560761,85
86,227.2822655662392,9.463536849950549,85
92,131.53117940481195,28.8218516554426,85
16,15.14142914332528,215.3947951446884,85
32,36.6721905805017,168.41323756591797,85
56,267.26003386998485,34.10210953072518,85
67,168.49788842905434,485.2338007257401,85
14,64.68929350375008,118.30375649565944,85
24,82.17590570310284,51.58120430192903,85
64,80.45446174117188,87.28079638056136,85
93,35.080756704974014,115.6426391564191,85
96,68.58990731056036,66.85094582163725,85
26,2.9543217624139473,123.31160488624288,85
